ID_NUMBER,DATA_HORA,COR,NUMERO_DA_BOLA
6rXBLw0ZkO,2023-02-21 00:00:00,Preto,14
DlZ4gKqy1j,2023-02-21 00:00:00,Vermelho,3
YrJ3oybY1K,2023-02-21 00:00:00,Vermelho,7
xrMa5YdzrQ,2023-02-21 00:00:00,Preto,8
Kl3XGD5prN,2023-02-21 00:00:00,Preto,13
plzXYnoy1n,2023-02-21 00:00:00,Vermelho,2
AlAmq6EglG,2023-02-21 00:00:00,Vermelho,7
EryVZ8gG1j,2023-02-21 00:00:00,Preto,14
RkbWYvK2lL,2023-02-21 00:00:00,Vermelho,7
R1p2mVgPl5,2023-02-21 00:00:00,Vermelho,7
elYnz58JrL,2023-02-21 00:00:00,Branco,0
WldVmgLn13,2023-02-21 00:00:00,Vermelho,3
XlO560Km1O,2023-02-21 00:00:00,Vermelho,5
9rKbOLpXl6,2023-02-21 00:00:00,Vermelho,6
G17zJDbXrZ,2023-02-21 00:00:00,Vermelho,5
AlAmq6A5lG,2023-02-21 00:00:00,Vermelho,2
EryVZ80V1j,2023-02-21 00:00:00,Vermelho,4
RkbWYvPvlL,2023-02-21 00:00:00,Preto,10
R1p2mVKml5,2023-02-21 00:00:00,Vermelho,4
elYnz5YwrL,2023-02-21 00:00:00,Preto,14
9rKbOL9al6,2023-02-21 00:00:00,Vermelho,4
M19X6D3erA,2023-02-21 00:00:00,Vermelho,6
mlN6dLPXlv,2023-02-21 00:00:00,Vermelho,4
dlEaeAY6lv,2023-02-21 00:00:00,Preto,12
qlPeVox5rz,2023-02-21 00:00:00,Branco,0
V1eK6g0wlo,2023-02-21 00:00:00,Vermelho,1
z1xQOZxWkp,2023-02-21 00:00:00,Branco,0
5k0LqJ3mkY,2023-02-21 00:00:00,Vermelho,7
Rl8Xjo36lK,2023-02-21 00:00:00,Vermelho,4
V1qoVX7AlB,2023-02-21 00:00:00,Preto,8
erWEg5zxkX,2023-02-21 00:00:00,Vermelho,2
8r22wX33rb,2023-02-21 00:00:00,Vermelho,5
8kGbNgOB1Z,2023-02-21 00:00:00,Preto,10
V1anwzE6ke,2023-02-21 00:00:00,Vermelho,7
blRLag8o1O,2023-02-21 00:00:00,Preto,10
RlvYanPbkj,2023-02-21 00:00:00,Preto,8
4lQ7Eg0N1n,2023-02-21 00:00:00,Vermelho,4
5rVXomyqkK,2023-02-21 00:00:00,Branco,0
O1BROQyV1K,2023-02-21 00:00:00,Branco,0
ekj6EgyQk9,2023-02-21 00:00:00,Vermelho,4
Arwd0ze21z,2023-02-21 00:00:00,Preto,13
J1oVJQOqrd,2023-02-21 00:00:00,Vermelho,2
V16G5w3ZkB,2023-02-21 00:00:00,Vermelho,2
6rXBLwp3kO,2023-02-21 00:00:00,Preto,13
DlZ4gKde1j,2023-02-21 00:00:00,Branco,0
YrJ3oyLM1K,2023-02-21 00:00:00,Vermelho,4
xrMa5YE2rQ,2023-02-21 00:00:00,Vermelho,5
Kl3XGD3OrN,2023-02-21 00:00:00,Preto,8
plzXYn8g1n,2023-02-21 00:00:00,Vermelho,2
AlAmq6W5lG,2023-02-21 00:00:00,Preto,9
R1p2mVpml5,2023-02-21 00:00:00,Vermelho,7
9rKbOLBal6,2023-02-21 00:00:00,Preto,9
G17zJDLArZ,2023-02-21 00:00:00,Branco,0
ylLzg9By1G,2023-02-21 00:00:00,Preto,8
M19X6DNerA,2023-02-21 00:00:00,Preto,8
mlN6dL3Xlv,2023-02-21 00:00:00,Preto,9
dlEaeAB6lv,2023-02-21 00:00:00,Preto,10
5k0LqJbmkY,2023-02-21 00:00:00,Preto,13
Rl8Xjo96lK,2023-02-21 00:00:00,Preto,13
V1qoVXYAlB,2023-02-21 00:00:00,Vermelho,1
erWEg5BxkX,2023-02-21 00:00:00,Vermelho,5
8r22wXY3rb,2023-02-21 00:00:00,Vermelho,7
8kGbNgBB1Z,2023-02-21 00:00:00,Preto,10
ylLzg9qL1G,2023-02-21 00:00:00,Vermelho,5
M19X6DBPrA,2023-02-21 00:00:00,Vermelho,3
mlN6dL2elv,2023-02-21 00:00:00,Vermelho,4
V1eK6gW3lo,2023-02-21 00:00:00,Preto,12
z1xQOZedkp,2023-02-21 00:00:00,Preto,10
5k0LqJBDkY,2023-02-21 00:00:00,Preto,8
Rl8XjoBJlK,2023-02-21 00:00:00,Preto,12
8r22wXVqrb,2023-02-21 00:00:00,Vermelho,1
8kGbNg9b1Z,2023-02-21 00:00:00,Vermelho,6
V1anwzNzke,2023-02-21 00:00:00,Preto,11
blRLagGa1O,2023-02-21 00:00:00,Preto,9
Kl5azXJGl9,2023-02-21 00:00:00,Vermelho,4
2l4GWPVgkn,2023-02-21 00:00:00,Preto,10
LknDL05Zr3,2023-02-21 00:00:00,Vermelho,5
5rVXomzxkK,2023-02-21 00:00:00,Vermelho,3
O1BROQdn1K,2023-02-21 00:00:00,Preto,11
ekj6Eg2wk9,2023-02-21 00:00:00,Vermelho,2
J1oVJQ6xrd,2023-02-21 00:00:00,Vermelho,3
DlZ4gKYq1j,2023-02-21 00:00:00,Preto,14
9rKbOLe0l6,2023-02-21 00:00:00,Preto,13
